type,city,fare,ride_id,driver_count
Urban,Rodneyfort,22.24,5393286273394,34
Urban,Rodneyfort,7.05,4239149293035,34
Urban,Rodneyfort,23.21,3433717126379,34
Urban,Rodneyfort,31.41,827420157387,34
Urban,Rodneyfort,27.87,9791961135733,34
Urban,Rodneyfort,35.79,9917197764299,34
Urban,West Robert,12.28,1442502460354,39
Urban,West Robert,44.58,4246011046064,39
Urban,West Robert,27.11,1369907297609,39
Urban,West Robert,32.94,9603611942427,39
Urban,West Robert,35.35,9554287895527,39
Urban,West Robert,10.15,9392183503517,39
Urban,West Robert,34.9,9472333753457,39
Urban,West Robert,5.16,1592591668312,39
Urban,West Robert,12.22,2705603518423,39
Urban,West Robert,5.36,9799481382484,39
Urban,West Robert,22.86,2318924655908,39
Urban,West Robert,32.48,7544372967170,39
Urban,West Robert,33.24,3055026277315,39
Urban,West Robert,40.69,502550639735,39
Urban,West Robert,22.81,5714311770037,39
Urban,West Robert,8.37,489896842800,39
Urban,West Robert,12.71,8503432590634,39
Urban,West Robert,4.28,2030781890598,39
Urban,West Robert,26.1,18586563147,39
Urban,West Robert,14.8,8061825242787,39
Urban,West Robert,18.28,4582728938880,39
Urban,West Robert,25.65,3598783489879,39
Urban,West Robert,35.88,2845456872898,39
Urban,West Robert,17.53,8336695194192,39
Urban,West Robert,43.02,7200177034430,39
Urban,West Robert,30.94,218488354366,39
Urban,West Robert,42.89,3371305205863,39
Urban,West Robert,44.97,341568099144,39
Urban,West Robert,40.64,5090000920328,39
Urban,West Robert,33.91,2161158839398,39
Urban,West Robert,6.74,6675182507896,39
Urban,West Anthony,10.02,9396763280782,70
Urban,West Anthony,23.24,596601397101,70
Urban,West Anthony,39.2,8491405671407,70
Urban,West Anthony,35.42,4561324147940,70
Urban,West Anthony,32.34,1479317039864,70
Urban,West Anthony,27.04,4375353573218,70
Urban,West Anthony,43.82,4381502138184,70
Urban,West Anthony,10.56,3762871811396,70
Urban,West Anthony,11.85,4274669968599,70
Urban,West Anthony,27.9,4267516319637,70
Urban,West Anthony,20.71,7550332627602,70
Urban,West Anthony,20.09,4221519670218,70
Urban,West Anthony,37.66,410252345130,70
Urban,West Anthony,17.47,5706560548659,70
Urban,West Anthony,23.76,2929352162502,70
Urban,West Anthony,15.55,5988409590665,70
Urban,West Anthony,15.64,4746854764335,70
Urban,West Anthony,5.03,1178018593506,70
Urban,West Anthony,21.38,9172650498634,70
Urban,West Anthony,19.95,1212046132747,70
Urban,West Anthony,31.6,4965334251077,70
Urban,West Anthony,14.3,7571962911640,70
Urban,West Anthony,33.51,4163116879444,70
Urban,West Anthony,41.37,1133824003625,70
Urban,West Anthony,31.16,8478263285526,70
Urban,West Anthony,20.83,9582303999416,70
Urban,West Anthony,38.54,8950008238108,70
Urban,West Anthony,19.66,2909279162533,70
Urban,West Anthony,11.2,3221735036264,70
Urban,West Anthony,41.3,1154693699214,70
Urban,West Angela,26.86,4820052223501,48
Urban,West Angela,12.74,2108723916092,48
Urban,West Angela,41.06,6204872968343,48
Urban,West Angela,27.1,1365318639571,48
Urban,West Angela,19.13,2078144834391,48
Urban,West Angela,32.31,7288678136396,48
Urban,West Angela,30.3,9673529276907,48
Urban,West Angela,36.37,7832434584190,48
Urban,West Angela,24.07,7808186044800,48
Urban,West Angela,32.77,4995732310908,48
Urban,West Angela,34.05,5332405801414,48
Urban,West Angela,16.18,5770095626762,48
Urban,West Angela,9.24,2623127281275,48
Urban,West Angela,4.92,5445148182471,48
Urban,West Angela,40.4,740626207222,48
Urban,West Angela,23.52,4843054118477,48
Urban,West Angela,20.72,1784730761330,48
Urban,West Angela,23.66,9188266805735,48
Urban,West Angela,32.18,4244815728759,48
Urban,West Angela,14.8,5022473192100,48
Urban,West Angela,23.83,8750806883711,48
Urban,West Angela,41.05,4602414089174,48
Urban,West Angela,20.33,1920342316739,48
Urban,West Angela,23.23,7769940291512,48
Urban,West Angela,29.99,4367320607156,48
Urban,West Angela,44.12,1962119538906,48
Urban,West Angela,19.44,3794957743208,48
Urban,West Angela,20.46,5241313119408,48
Urban,West Angela,19.81,9739967666158,48
Urban,West Angela,23.09,5991667849215,48
Urban,West Angela,13.06,7206619990906,48
Urban,West Angela,31.03,3524340292330,48
Urban,West Angela,29.06,713854282118,48
Urban,West Angela,40.55,1832101254162,48
Urban,West Angela,23.45,7766326460678,48
Urban,West Angela,27.68,791846342132,48
Urban,West Angela,28.75,3697508187707,48
Urban,West Angela,39.95,7950036014003,48
Urban,West Angela,12.35,2050512349119,48
Urban,Martinezhaven,5.3,264337981979,25
Urban,Martinezhaven,13.34,2760692818274,25
Urban,Martinezhaven,34.7,2023088734313,25
Urban,Martinezhaven,5.81,2124254219877,25
Urban,Martinezhaven,4.31,9333328117367,25
Urban,Martinezhaven,32.57,971301770681,25
Urban,Martinezhaven,23.55,7385334795420,25
Urban,Martinezhaven,21.18,4046813358675,25
Urban,Martinezhaven,15.33,9810609975378,25
Urban,Martinezhaven,42.75,9056087833483,25
Urban,Martinezhaven,7.01,7636746329063,25
Urban,Martinezhaven,11.61,3416645088537,25
Urban,Martinezhaven,39.26,9867639864905,25
Urban,Martinezhaven,15.93,9624577513483,25
Urban,Martinezhaven,35.45,4822605030086,25
Urban,Martinezhaven,15.48,5946821101050,25
Urban,Martinezhaven,23.62,5469885684920,25
Urban,Martinezhaven,34.27,234040536506,25
Urban,Martinezhaven,27.16,2198999302323,25
Urban,Martinezhaven,6.89,3266247221258,25
Urban,Martinezhaven,11.55,9306298924624,25
Urban,Martinezhaven,40.2,8856596685853,25
Urban,Martinezhaven,40.29,4665194925087,25
Urban,Martinezhaven,36.07,1517725239558,25
Urban,Karenberg,36.15,7796761531541,22
Urban,Karenberg,28.41,9052850267417,22
Urban,Karenberg,24.64,4539326805168,22
Urban,Karenberg,44.1,9226782716583,22
Urban,Karenberg,44.73,3800715746753,22
Urban,Karenberg,16.11,4806086618308,22
Urban,Karenberg,26.92,9685096099889,22
Urban,Karenberg,11.06,4344963104211,22
Urban,Karenberg,35.68,8631752660819,22
Urban,Karenberg,41.26,3357149373173,22
Urban,Karenberg,44.08,7216870520002,22
Urban,Karenberg,9.5,1452908053234,22
Urban,Karenberg,8.79,3832465976005,22
Urban,Karenberg,5.7,7644517011765,22
Urban,Karenberg,23.73,405640953288,22
Urban,Karenberg,34.67,6995539608497,22
Urban,Karenberg,12.25,3871929479027,22
Urban,Barajasview,19.52,8268107272481,26
Urban,Barajasview,37.68,4108452999906,26
Urban,Barajasview,24.49,2612169071005,26
Urban,Barajasview,28.25,7225827834994,26
Urban,Barajasview,26.83,937248382509,26
Urban,Barajasview,17.76,8098247711287,26
Urban,Barajasview,17.12,4628923040888,26
Urban,Barajasview,39.36,1801612492097,26
Urban,Barajasview,39.39,9437995336707,26
Urban,Barajasview,37.05,1829231979881,26
Urban,Barajasview,28.3,1314271514395,26
Urban,Barajasview,26.6,5623058981104,26
Urban,Barajasview,36.13,8567191526174,26
Urban,Barajasview,19.81,2376258275704,26
Urban,Barajasview,17.63,9233210711447,26
Urban,Barajasview,44.15,9596158245970,26
Urban,Barajasview,9.21,1841073494391,26
Urban,Barajasview,12.24,766512199846,26
Urban,Barajasview,12.35,6122257582314,26
Urban,Barajasview,12.25,1657106589275,26
Urban,Barajasview,29.55,3838354230678,26
Urban,Barajasview,21.64,3010027933226,26
Urban,Robertport,6.73,9679756863064,12
Urban,Robertport,20.21,9630923585394,12
Urban,Robertport,43.47,7995689882173,12
Urban,Robertport,15.14,6669724727514,12
Urban,Robertport,13.39,681044064878,12
Urban,Robertport,39.57,3970344404659,12
Urban,Robertport,8.48,2892772641554,12
Urban,Robertport,44.75,6711343300903,12
Urban,Robertport,31.62,4852264393826,12
Urban,Robertport,35.29,7875812010140,12
Urban,Robertport,19.73,7443212616134,12
Urban,Robertport,41.48,6464585125888,12
Urban,Robertport,11.42,9229559709948,12
Urban,Robertport,8.2,3399765997944,12
Urban,Robertport,13.34,5448152130582,12
Urban,Robertport,18.38,9072927119265,12
Urban,Robertport,14.81,1468741682203,12
Urban,Robertport,14.61,8501454819559,12
Urban,Robertport,36.11,5886554503793,12
Urban,Robertport,24.48,4267630984582,12
Urban,Joneschester,34.71,3343258153690,39
Urban,Joneschester,36.78,1664032953575,39
Urban,Joneschester,6.34,2605462716773,39
Urban,Joneschester,25.47,5540177253069,39
Urban,Joneschester,17.97,5439310968925,39
Urban,Joneschester,33.34,2386091007509,39
Urban,Joneschester,10.52,4970367967024,39
Urban,Joneschester,15.35,2307172112042,39
Urban,Joneschester,9.78,967059001191,39
Urban,Joneschester,9.48,4155294950060,39
Urban,Joneschester,39.32,1553159622320,39
Urban,Joneschester,13.43,2235858014628,39
Urban,Joneschester,21.17,1576517155223,39
Urban,Joneschester,9.7,8587089133901,39
Urban,Joneschester,22.72,8705027938818,39
Urban,Joneschester,27.91,1273089327705,39
Urban,Joneschester,13.77,6678138496534,39
Urban,Joneschester,27.79,1264452837532,39
Urban,Joneschester,7.56,4606111536146,39
Urban,Joneschester,21.74,2729175742345,39
Urban,Joneschester,41.65,9830268750819,39
Urban,Joneschester,10.52,3382314791322,39
Urban,Joneschester,42.74,4496207006444,39
Urban,Joneschester,27.36,7530382780656,39
Urban,Joneschester,30.12,8972497663155,39
Urban,Leahton,8.85,6966668662612,17
Urban,Leahton,17.05,5846586406028,17
Urban,Leahton,22.76,5808733389189,17
Urban,Leahton,24.13,6759666489394,17
Urban,Leahton,16.79,4744794513785,17
Urban,Leahton,29.36,2921814447813,17
Urban,Leahton,9.08,8197500470005,17
Urban,Leahton,9.37,4669655714135,17
Urban,Leahton,39.81,457901817044,17
Urban,Leahton,25.84,9242697245895,17
Urban,Leahton,41.29,3310674816591,17
Urban,Leahton,4.65,2204196907107,17
Urban,Leahton,7.08,3744450559493,17
Urban,Leahton,15.37,9588333638752,17
Urban,Leahton,8.38,5895519228312,17
Urban,Leahton,18.25,6160383330317,17
Urban,Leahton,21.95,1795517114461,17
Urban,Leahton,31.01,2116500207936,17
Urban,Leahton,14.87,3839886060948,17
Urban,Leahton,43.44,4290916547911,17
Urban,Leahton,36.79,6214133326256,17
Urban,West Christopherberg,12.64,1061090771392,32
Urban,West Christopherberg,9.04,5154845220316,32
Urban,West Christopherberg,30.93,5335678989278,32
Urban,West Christopherberg,37.78,8767059547253,32
Urban,West Christopherberg,43.87,5085480897932,32
Urban,West Christopherberg,11.97,6422545841490,32
Urban,West Christopherberg,21.41,7703401822129,32
Urban,West Christopherberg,21.55,2201807083816,32
Urban,West Christopherberg,42.83,6898409001667,32
Urban,West Christopherberg,4.4,4353113095330,32
Urban,West Christopherberg,40.98,752483924594,32
Urban,West Christopherberg,32.27,2175995190390,32
Urban,West Christopherberg,8.42,836258929042,32
Urban,West Christopherberg,25.31,3275952096570,32
Urban,West Christopherberg,33.97,4253879747453,32
Urban,West Christopherberg,44.76,2736821667334,32
Urban,West Christopherberg,35.39,7477243029144,32
Urban,West Christopherberg,14.22,3725594191671,32
Urban,West Christopherberg,26.9,1241904355851,32
Urban,West Christopherberg,39.8,5350289549048,32
Urban,West Christopherberg,7.98,5729357604390,32
Urban,West Christopherberg,33.03,1478762318845,32
Urban,West Christopherberg,10.91,3730797143907,32
Urban,West Christopherberg,22.86,9748845131381,32
Urban,West Christopherberg,4.88,7740852204661,32
Urban,West Christopherberg,16.85,7337258118847,32
Urban,Johnton,32.19,8526302845313,27
Urban,Johnton,43.75,195318504552,27
Urban,Johnton,18.89,3634068282558,27
Urban,Johnton,22.87,1030619542522,27
Urban,Johnton,43.5,7134200570421,27
Urban,Johnton,32.38,8954815235985,27
Urban,Johnton,12.02,6670296339067,27
Urban,Johnton,24.17,7413359170219,27
Urban,Johnton,18.76,6360819904963,27
Urban,Johnton,28.59,5597542881853,27
Urban,Johnton,43.93,5443753596638,27
Urban,Johnton,30.97,6853977450248,27
Urban,Johnton,33.12,7226095312061,27
Urban,Johnton,4.63,3435314950289,27
Urban,Johnton,28.14,7110470975159,27
Urban,Johnton,36.76,3273293541841,27
Urban,Johnton,16.63,7248459450448,27
Urban,Johnton,17.89,1266248389669,27
Urban,Johnton,30.27,1604984494757,27
Urban,Johnton,19.68,8534361219730,27
Urban,Johnton,23.36,3671342249951,27
Urban,Reynoldsfurt,34.06,6604420154219,67
Urban,Reynoldsfurt,14.95,1404730379464,67
Urban,Reynoldsfurt,24.84,5000179618056,67
Urban,Reynoldsfurt,13.63,7990078064277,67
Urban,Reynoldsfurt,42.97,1390651031898,67
Urban,Reynoldsfurt,6.08,2567207216019,67
Urban,Reynoldsfurt,8.81,3238113908006,67
Urban,Reynoldsfurt,4.1,5690725376594,67
Urban,Reynoldsfurt,31.43,9922313993736,67
Urban,Reynoldsfurt,21.18,7471389630684,67
Urban,Reynoldsfurt,35.65,9907094547309,67
Urban,Reynoldsfurt,29.07,1864214108957,67
Urban,Reynoldsfurt,25.19,1033224475506,67
Urban,Reynoldsfurt,7.43,5244425698113,67
Urban,Reynoldsfurt,11.97,9406113555740,67
Urban,Reynoldsfurt,6.34,5560686093253,67
Urban,Reynoldsfurt,38.35,6517888893678,67
Urban,Reynoldsfurt,21.02,6197091221286,67
Urban,Reynoldsfurt,39.4,9070692324754,67
Urban,Port David,33.11,1025683688009,7
Urban,Port David,42.04,9905958460368,7
Urban,Port David,15.64,5338482988567,7
Urban,Port David,7.45,6148349878448,7
Urban,Port David,20.49,5846260665949,7
Urban,Port David,28.84,5266776204034,7
Urban,Port David,35.63,3354533588717,7
Urban,Port David,26.68,5361385420513,7
Urban,Port David,20.16,1847433349462,7
Urban,Port David,41.14,2694440573613,7
Urban,Port David,10.05,6921950351964,7
Urban,Port David,23.7,6492204643079,7
Urban,Port David,18.43,4635592843405,7
Urban,Port David,38.0,7772695039643,7
Urban,Port David,25.65,2084689891157,7
Urban,Port David,21.2,571426064278,7
Urban,Port David,39.51,5955263794133,7
Urban,Port David,9.22,3636094509357,7
Urban,Port David,32.92,857956984195,7
Urban,Port David,35.51,2988691809424,7
Urban,Port David,13.41,6413543746665,7
Urban,Port David,30.03,7355586586718,7
Urban,New Kimberlyborough,9.34,7992781920789,33
Urban,New Kimberlyborough,29.67,4823568522144,33
Urban,New Kimberlyborough,27.9,6750798028086,33
Urban,New Kimberlyborough,17.19,2770472867019,33
Urban,New Kimberlyborough,22.59,9250925234627,33
Urban,New Kimberlyborough,42.51,8296939454553,33
Urban,New Kimberlyborough,39.55,6010050950112,33
Urban,New Kimberlyborough,29.09,8587116438511,33
Urban,New Kimberlyborough,39.47,2812686066656,33
Urban,New Kimberlyborough,10.83,1558582913618,33
Urban,New Kimberlyborough,13.34,626984358861,33
Urban,New Kimberlyborough,15.78,6414956560879,33
Urban,New Kimberlyborough,14.73,9083112202235,33
Urban,New Kimberlyborough,12.01,135528560801,33
Urban,New Kimberlyborough,27.37,533038154167,33
Urban,New Kimberlyborough,15.22,7020071980202,33
Urban,New Kimberlyborough,10.91,935421621766,33
Urban,New Kimberlyborough,6.08,3872922863721,33
Urban,New Kimberlyborough,9.08,3171924269846,33
Urban,New Kimberlyborough,6.43,6447146283593,33
Urban,New Kimberlyborough,28.87,7937084886066,33
Urban,New Kimberlyborough,23.09,5575542360660,33
Urban,New Kimberlyborough,10.76,9128314710444,33
Urban,New Kimberlyborough,33.35,9501644249110,33
Urban,New Kimberlyborough,35.11,8275820093507,33
Urban,New Kimberlyborough,14.84,1839171122889,33
Urban,New Kimberlyborough,33.74,6329063149216,33
Urban,New Kimberlyborough,18.02,3979116091493,33
Urban,New Kimberlyborough,37.73,2211216902202,33
Urban,New Kimberlyborough,43.07,5603777741586,33
Urban,Carriemouth,32.37,6918425016992,52
Urban,Carriemouth,16.78,1519393006937,52
Urban,Carriemouth,12.91,4276692439725,52
Urban,Carriemouth,11.46,6991852632799,52
Urban,Carriemouth,44.18,4528590417948,52
Urban,Carriemouth,28.04,5138542326977,52
Urban,Carriemouth,44.64,9560844852216,52
Urban,Carriemouth,10.97,8792105073561,52
Urban,Carriemouth,38.69,4407120983828,52
Urban,Carriemouth,24.13,7417680158298,52
Urban,Carriemouth,21.99,117997692054,52
Urban,Carriemouth,24.87,6015598860404,52
Urban,Carriemouth,22.66,3717939611043,52
Urban,Carriemouth,31.99,4872537912318,52
Urban,Carriemouth,37.35,4812351487449,52
Urban,Carriemouth,27.84,6589827440342,52
Urban,Carriemouth,34.32,7984921253550,52
Urban,Carriemouth,26.91,7852477915591,52
Urban,Carriemouth,23.48,4757309916575,52
Urban,Carriemouth,19.05,1954595027791,52
Urban,Carriemouth,37.63,7736868729205,52
Urban,Carriemouth,40.03,2667929739732,52
Urban,Carriemouth,37.81,7350661461430,52
Urban,Carriemouth,41.54,1102333782246,52
Urban,Carriemouth,38.17,8161204669836,52
Urban,Carriemouth,8.28,451752270898,52
Urban,Carriemouth,26.4,4293523822822,52
Urban,Rogerston,32.69,1643407853276,25
Urban,Rogerston,14.04,7647140329924,25
Urban,Rogerston,39.6,9196190355530,25
Urban,Rogerston,43.82,4718959573846,25
Urban,Rogerston,25.14,1722619288127,25
Urban,Rogerston,36.28,7090350986768,25
Urban,Rogerston,19.42,8770692552959,25
Urban,Rogerston,28.54,9963100218298,25
Urban,Rogerston,8.58,4178975305980,25
Urban,Rogerston,8.87,5686977709839,25
Urban,Rogerston,29.88,3979709415828,25
Urban,Rogerston,10.29,7434755865561,25
Urban,Rogerston,17.81,8564688877511,25
Urban,Rogerston,20.64,8147119935068,25
Urban,Rogerston,31.34,132229043541,25
Urban,Rogerston,13.97,2819922682847,25
Urban,Rogerston,21.64,3849704287167,25
Urban,Rogerston,13.4,9764361764025,25
Urban,Rogerston,27.26,9445963524322,25
Urban,Rogerston,27.4,6535366485146,25
Urban,Rogerston,11.13,9117397855777,25
Urban,Rogerston,4.41,1718712551725,25
Urban,Jerryton,28.08,6003411645536,64
Urban,Jerryton,37.2,5637872466976,64
Urban,Jerryton,37.91,1587079787234,64
Urban,Jerryton,32.08,8499177647057,64
Urban,Jerryton,13.29,8959844730593,64
Urban,Jerryton,29.08,6160527574249,64
Urban,Jerryton,41.27,902958428816,64
Urban,Jerryton,7.86,707330492023,64
Urban,Jerryton,4.97,8096395372343,64
Urban,Jerryton,5.21,2366544103859,64
Urban,Jerryton,22.26,974452603143,64
Urban,Jerryton,24.49,3080437772609,64
Urban,Jerryton,36.87,3091056853372,64
Urban,Jerryton,27.71,9044741327560,64
Urban,Jerryton,37.7,9580453081562,64
Urban,Jerryton,15.37,931767662333,64
Urban,Jerryton,42.8,2662884342881,64
Urban,Jerryton,22.91,3498905000817,64
Urban,Jerryton,28.24,4147224282549,64
Urban,Jerryton,15.82,8112351353413,64
Urban,Jerryton,9.64,9483701056322,64
Urban,Jerryton,21.27,2523553025606,64
Urban,Jerryton,37.89,4275221969665,64
Urban,Jerryton,29.84,8129673900768,64
Urban,Jerryton,31.47,5424245579315,64
Urban,Loganberg,8.23,678728883160,23
Urban,Loganberg,16.26,9045377966666,23
Urban,Loganberg,22.86,1954301151475,23
Urban,Loganberg,23.99,9492898520301,23
Urban,Loganberg,4.72,6120689505628,23
Urban,Loganberg,26.03,9123752490460,23
Urban,Loganberg,38.66,7239150907201,23
Urban,Loganberg,44.34,1376539129772,23
Urban,Loganberg,35.97,8828009078941,23
Urban,Loganberg,41.86,7045605197277,23
Urban,Loganberg,44.47,3541067049177,23
Urban,Loganberg,13.69,4066009191862,23
Urban,Loganberg,25.93,186095541779,23
Urban,Loganberg,5.92,5327695501243,23
Urban,Loganberg,22.51,3208043296870,23
Urban,Loganberg,36.82,1078107100946,23
Urban,Loganberg,30.47,7769257115143,23
Urban,Loganberg,7.12,1273504899848,23
Urban,Loganberg,5.16,9234858994858,23
Urban,Loganberg,7.49,641484440175,23
Urban,Loganberg,23.98,9369013244643,23
Urban,Loganberg,32.4,2448427854987,23
Urban,Loganberg,16.36,4728835123393,23
Urban,Loganberg,34.42,237725006820,23
Urban,Loganberg,41.16,4360659646407,23
Urban,Loganberg,40.8,3172019974706,23
Urban,Loganberg,20.36,1816764262702,23
Urban,Loganberg,36.21,8542273339484,23
Urban,Simpsonburgh,35.98,111953927754,21
Urban,Simpsonburgh,15.83,233191052705,21
Urban,Simpsonburgh,22.05,3495175591045,21
Urban,Simpsonburgh,4.74,8556334983479,21
Urban,Simpsonburgh,25.58,2038696705617,21
Urban,Simpsonburgh,24.83,3151662422628,21
Urban,Simpsonburgh,33.71,2597478534819,21
Urban,Simpsonburgh,25.65,2869643436519,21
Urban,Simpsonburgh,22.45,7811391600020,21
Urban,Simpsonburgh,24.16,9709763173877,21
Urban,Simpsonburgh,30.0,7644620182703,21
Urban,Simpsonburgh,10.07,2994799721179,21
Urban,Simpsonburgh,13.38,1577917546598,21
Urban,Simpsonburgh,27.2,3681834566855,21
Urban,Simpsonburgh,15.36,5195666026077,21
Urban,Simpsonburgh,39.23,3697086244830,21
Urban,Simpsonburgh,23.33,999763197952,21
Urban,Simpsonburgh,4.63,60590634054,21
Urban,Simpsonburgh,29.22,4452627021726,21
Urban,Simpsonburgh,33.11,2860856883893,21
Urban,Simpsonburgh,39.95,1108660251073,21
Urban,Simpsonburgh,13.01,9413350107687,21
Urban,Simpsonburgh,39.44,252491764873,21
Urban,Simpsonburgh,7.63,4176780124147,21
Urban,Port Frank,41.47,6746609056348,23
Urban,Port Frank,26.47,6722706570956,23
Urban,Port Frank,18.08,5474889861628,23
Urban,Port Frank,42.13,2099160507410,23
Urban,Port Frank,20.1,4443074322856,23
Urban,Port Frank,39.06,7301845642275,23
Urban,Port Frank,30.24,1454211942922,23
Urban,Port Frank,28.83,889804632019,23
Urban,Port Frank,40.82,6386241535933,23
Urban,Port Frank,13.55,4849705700770,23
Urban,Port Frank,19.43,7792158774140,23
Urban,Port Frank,38.97,5944395790403,23
Urban,Port Frank,32.44,5387351568133,23
Urban,Port Frank,43.27,491472563955,23
Urban,Port Frank,21.02,9714376208717,23
Urban,Port Frank,36.35,9213719236849,23
Urban,Port Frank,6.5,2109093047409,23
Urban,Port Frank,39.39,7967483376646,23
Urban,Port Frank,14.21,8366078746939,23
Urban,Port Frank,36.08,345798180405,23
Urban,Port Frank,33.73,2262735363722,23
Urban,Port Frank,33.83,1263734830322,23
Urban,Port Frank,4.86,5084604122837,23
Urban,Port Frank,25.18,7280804922163,23
Urban,Port Frank,35.35,1918776405433,23
Urban,Port Frank,21.11,9063920293861,23
Urban,Port Frank,22.63,9908378465166,23
Urban,Port Frank,11.97,8711333582560,23
Urban,Port Frank,19.81,2185137282852,23
Urban,Port Frank,19.98,4493440036641,23
Urban,Port Frank,30.93,8726143802098,23
Urban,Port Frank,34.86,3935964262850,23
Urban,Port Frank,15.0,7321190762923,23
Urban,South Latoya,9.52,1994999424437,10
Urban,South Latoya,27.41,8662301917375,10
Urban,South Latoya,30.22,7388420725356,10
Urban,South Latoya,10.35,338288902823,10
Urban,South Latoya,31.72,363818381250,10
Urban,South Latoya,10.98,7144193668593,10
Urban,South Latoya,40.29,660212576580,10
Urban,South Latoya,5.54,839760150140,10
Urban,South Latoya,30.03,9560331347461,10
Urban,South Latoya,28.92,5779826808279,10
Urban,South Latoya,43.72,390121563394,10
Urban,South Latoya,14.82,6963441669653,10
Urban,South Latoya,5.93,2624300505522,10
Urban,South Latoya,12.17,9006323786141,10
Urban,South Latoya,5.04,9877402838460,10
Urban,South Latoya,5.69,701359361728,10
Urban,South Latoya,25.87,4911564763064,10
Urban,South Latoya,16.01,2755056904274,10
Urban,South Latoya,27.54,3391380718287,10
Urban,West Samuelburgh,41.12,7330842806458,73
Urban,West Samuelburgh,38.77,2931685225267,73
Urban,West Samuelburgh,25.17,1781749929829,73
Urban,West Samuelburgh,27.48,100530645822,73
Urban,West Samuelburgh,14.55,7160360480942,73
